MATERIAL,Unidad de medida,17,18,19,20,porcentaje,tipo
Agitadores de vidrio,piezas,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,10,CRISTALERÍA
Cajas de Petri de 10 cm de diámetro,piezas,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,10,CRISTALERÍA
Cubreobjetos,cajas,2 x grupo,2 x grupo,2 x grupo,2 x grupo,10,CRISTALERÍA
Cristalizador de 4 tamaños diferentes,juegos,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Embudos de tallo largo de 5 cm. de diámetro,piezas,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Frascos goteros,piezas,3 x equipo de trabajo,3 x equipo de trabajo,3 x equipo de trabajo,3 x equipo de trabajo,10,CRISTALERÍA
Matraces Erlenmeyer de 50 mL.,piezas,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Matraces Erlenmeyer de 125 mL.,piezas,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Matraces Erlenmeyer de 250 mL.,piezas,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Morteros de porcelana con pistilo de 10 cm. de diámetro y  capacidad de 300 mL.,piezas,1 x equipo de trabajo,,,,10,CRISTALERÍA
Pipetas graduadas de 1mL. ,piezas,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Pipetas graduadas de 5 mL.,piezas,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Pipetas graduadas de 10 mL.,piezas,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Pipetas Pasteur con peras,cajas,1 x grupo,1 x grupo,1 x grupo,1 x grupo,10,CRISTALERÍA
Pipetas volumétricas de 1mL.,piezas,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Pipetas volumétricas de 5mL.,piezas,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Pipetas volúmetricas de 10 mL.,piezas,,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Portaobjetos,cajas,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Probetas graduadas de 10 mL. ,piezas,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Probetas graduadas de 50 mL. ,piezas,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Probetas graduadas de 100 mL.,piezas,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Tubos de ensayo de 100 X 10,piezas,10 x equipo de trabajo,10 x equipo de trabajo,10 x equipo de trabajo,10 x equipo de trabajo,10,CRISTALERÍA
Tubos de fermentación con base ,piezas,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,10,CRISTALERÍA
Tubo de vidrio,metros,10 x grupo,,,10 x grupo,10,CRISTALERÍA
Varilla de vidrio,metros,10 x grupo,10 x grupo,10 x grupo,10 x grupo,10,CRISTALERÍA
Vasos de precipitado de 50 mL.,piezas,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Vasos de precipitado de 100 mL.,piezas,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Vasos de precipitado de 250 mL.,piezas,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,CRISTALERÍA
Vidrios de reloj de 5 cm. ,piezas,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,10,CRISTALERÍA
Vidrios de reloj de 10 cm.,piezas,2 x equipo de trabajo,,,,10,CRISTALERÍA
"Principales tejidos animales (tejido óseo, muscular (liso, esquelético, cardiaco), nervioso, epitelial, sanguíneo, adiposo)",laminillas de los diferentes tejidos señalados,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Principales tejidos vegetales (parénquima, colénquima, hoja con estomas, floema, xilema, meristemático apical, lateral y radicular, etc.)",laminillas de los diferentes tejidos señalados,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Protozoarios (Plasmodium sp,. amibas, Trypanosoma sp., Giardia sp., Chlamydomonas sp., Paramecium sp.)",laminillas de los diferentes tejidos señalados,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Algas microscopias (algas rojas, pardas, doradas y verdes) Vorticella sp., Euglena sp., diatomeas, dinoflagelados, fitoplancton,  así como cortes de algas macroscópicas.",laminillas de los diferentes tejidos señalados,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Distintos tipos de bacterias (cocos, bacilos y espirilos) Estreptococo, Estafilococo, Shigella sp., clamidias, Escherichia coli, Salmonella sp.",laminillas de los diferentes tejidos señalados,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Hongos macroscópicos y microscópicos (mohos, Aspergillus sp., Rhizopus sp., Penicillium sp., esporangios, hifas, conidios, levaduras, ascomicetos, basidiomicetos hongos parásitos de animales y vegetales, Pie de atleta, tiña, Candida albicans, huitlacoche, mohos mucilaginosos y acuáticos, royas, etc.)",laminillas de los diferentes tejidos señalados,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Esponjas (espículas, esponja de mar)",laminillas de los diferentes tejidos señalados,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Espermatozoides (caracol, erizo, ganado, roedores, insectos)",laminillas de los diferentes tejidos señalados,,1 x equipo de trabajo,1 x equipo de trabajo,,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Cnidarios (pólipos, corales, medusas)",laminillas de los diferentes tejidos señalados,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
Platelmintos (tenias de animales y de humanos),laminillas de los diferentes tejidos señalados,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Nemátodos (áscaris de animales y humanos, gusanos de vegetales)",laminillas de los diferentes tejidos señalados,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Anélidos (lombriz de tierra, marinos)",laminillas de los diferentes tejidos señalados,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Artrópodos (crustáceos, arácnidos, escorpiones, insectos y otros)",laminillas de los diferentes tejidos señalados,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Equinodermos (galletas, erizos, estrellas y pepinos de mar)",laminillas de los diferentes tejidos señalados,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Cortes de testículos de diferentes animales (ratas, ratones, conejo, aves, etc.)",laminillas de los diferentes tejidos señalados,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
Cortes de ovario de diferentes animales y vegetales,laminillas de los diferentes tejidos señalados,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Cromosomas vegetales y animales (haba, mosca de la fruta, insectos, humanos normales y con diferentes mutaciones cromosómicas)",laminillas de los diferentes tejidos señalados,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,,10,MATERIAL BIOLÓGICO PREPARACIONES PERMANENTES
"Algas microscópicas rojas, pardas, verdes, amarillas, diatomeas, dinoflagelados",diferentes ejemplares de los señalados,5 x grupo,5 x grupo,5 x grupo,5 x grupo,10,MATERIAL BIOLÓGICO PRESERVADO
"Hongos: mohos Aspergillus sp., ascomicetos, basidiomicetos (setas, clavitos, champiñones, orejas de palo, royas) deuteromicetos, Penicillum.",diferentes ejemplares de los señalados,5 x grupo,5 x grupo,5 x grupo,5 x grupo,10,MATERIAL BIOLÓGICO PRESERVADO
Musgos,diferentes ejemplares de los señalados,5 x grupo,5 x grupo,5 x grupo,,10,MATERIAL BIOLÓGICO PRESERVADO
Hepáticas,diferentes ejemplares de los señalados,5 x grupo,5 x grupo,5 x grupo,,10,MATERIAL BIOLÓGICO PRESERVADO
Helechos de diferentes tipos,diferentes ejemplares de los señalados,5 x grupo,5 x grupo,5 x grupo,,10,MATERIAL BIOLÓGICO PRESERVADO
"Angiospermas diversas plantas con flores, mono y dicotiledóneas",diferentes ejemplares de los señalados,5 x grupo,5 x grupo,5 x grupo,,10,MATERIAL BIOLÓGICO PRESERVADO
"Gimnospermas: pinos, abetos, cedro, ciprés.",diferentes ejemplares de los señalados,5 x grupo,5 x grupo,5 x grupo,,10,MATERIAL BIOLÓGICO PRESERVADO
"Fósiles de diversos animales y vegetales (por impresiones,de  ambar, marinos, etc)",diferentes ejemplares de los señalados,5 x grupo,5 x grupo,5 x grupo,,10,MATERIAL BIOLÓGICO PRESERVADO
"Esponjas: esponja de baño, canasta de flores de Venus, esponja de tubo",diferentes ejemplares de los señalados,5 x grupo,5 x grupo,5 x grupo,,10,MATERIAL BIOLÓGICO PRESERVADO
"Cnidarios: pólipos, corales, anémonas, pluma de mar y abanico de mar, medusas, hidra y fragata portuguesa",diferentes ejemplares de los señalados,5 x grupo,5 x grupo,5 x grupo,,10,MATERIAL BIOLÓGICO PRESERVADO
"Gusanos planos (tenias de animales y de humanos, fasciola hepática, planarias)",diferentes ejemplares de los señalados,5 x grupo,5 x grupo,5 x grupo,5 x grupo,10,MATERIAL BIOLÓGICO PRESERVADO
"Nemátodos (áscaris de animales y humanos, gusanos de vegetales, Thichinella sp.)",diferentes ejemplares de los señalados,5 x grupo,5 x grupo,5 x grupo,5 x grupo,10,MATERIAL BIOLÓGICO PRESERVADO
"Anélidos: gusanos de arena, abanico y plumero, lombriz de tierra, sanguijuelas y Tubifex sp.",diferentes ejemplares de los señalados,5 x grupo,5 x grupo,5 x grupo,5 x grupo,10,MATERIAL BIOLÓGICO PRESERVADO
"Artrópodos: trilobites, garrapatas, ácaros, arañas, escorpiones, cangrejo, camarón, jaiba,  cochinilla, pulga de agua, percebes, cienpiés, milpiés y diferentes insectos (termita, hormiga, escarabajo, libélula, mosca, mosquito, polilla, abeja, avispa, tijerilla, saltamontes, mariposa, pulga, piojo, chinche)",diferentes ejemplares de los señalados,5 x grupo,5 x grupo,5 x grupo,,10,MATERIAL BIOLÓGICO PRESERVADO
"Moluscos: almejas, ostras, mejillones,  calamar, pulpo, nautilo babosa, caracoles marinos, dulceacuícolas y terrestres",diferentes ejemplares de los señalados,5 x grupo,5 x grupo,5 x grupo,,10,MATERIAL BIOLÓGICO PRESERVADO
"Equinodermos: galletas, erizos, estrellas y pepinos de mar",diferentes ejemplares de los señalados,5 x grupo,5 x grupo,5 x grupo,,10,MATERIAL BIOLÓGICO PRESERVADO
"Peces óseos y cartilaginosos (tilapia, mojarra, mantarraya, tiburón)",diferentes ejemplares de los señalados,5 x grupo,5 x grupo,5 x grupo,,10,MATERIAL BIOLÓGICO PRESERVADO
"Anfibios: ranas, sapos, salamandras y ajolotes",diferentes ejemplares de los señalados,5 x grupo,5 x grupo,5 x grupo,,10,MATERIAL BIOLÓGICO PRESERVADO
"Reptiles: tortugas, lagartijas, serpientes, lagartos y cocodrilos",diferentes ejemplares de los señalados,5 x grupo,5 x grupo,5 x grupo,,10,MATERIAL BIOLÓGICO PRESERVADO
"Aves: paloma, pájaros, aves de corral, codorniz",diferentes ejemplares de los señalados,5 x grupo,5 x grupo,5 x grupo,,10,MATERIAL BIOLÓGICO PRESERVADO
"Mamíferos: ratón, rata, conejo, perro, gato, cuyo, hámster, ardilla, caballo, cerdo, oveja, vaca, comadreja, mapache, musaraña, topo, murciélagos, delfín, ornitorrinco, canguro, koala, lémur, mono, chimpancé, oso hormiguero y armadillo",diferentes ejemplares de los señalados,5 x grupo,5 x grupo,5 x grupo,,10,MATERIAL BIOLÓGICO PRESERVADO
"Organismos en diferentes estadios de desarrollo (mórula, blástula, gástrula, fetos de diferentes semanas de anfibios, aves, mamíferos, etc.)",diferentes ejemplares de los señalados,5 x grupo,5 x grupo,5 x grupo,,10,MATERIAL BIOLÓGICO PRESERVADO
Guantes de látex desechables,caja,1 x grupo,1 x grupo,1 x grupo,1 x grupo,20,EQUIPO DE PROTECCIÓN PERSONAL Y SEGURIDAD
Guantes de asbesto,pares,,,,1 x equipo de trabajo,20,EQUIPO DE PROTECCIÓN PERSONAL Y SEGURIDAD
Guantes de carnaza,pares,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,20,EQUIPO DE PROTECCIÓN PERSONAL Y SEGURIDAD
Guantes de nitrilo,caja,1 x grupo,1 x grupo,1 x grupo,1 x grupo,20,EQUIPO DE PROTECCIÓN PERSONAL Y SEGURIDAD
Lentes de seguridad,pzas.,1 x alumno,1 x alumno,1 x alumno,1 x alumno,20,EQUIPO DE PROTECCIÓN PERSONAL Y SEGURIDAD
Cubrebocas,caja,1 x grupo,1 x grupo,1 x grupo,1 x grupo,20,EQUIPO DE PROTECCIÓN PERSONAL Y SEGURIDAD
Mascarillas para polvos,pzas.,1 x alumno,1 x alumno,1 x alumno,1 x alumno,20,EQUIPO DE PROTECCIÓN PERSONAL Y SEGURIDAD
Aceite de inmersión,mililitros,100 x grupo,100 x grupo,100 x grupo,100 x grupo,15,SUSTANCIAS
Aceite de Oliva,mililitros,,100 x grupo,100 x grupo,,15,SUSTANCIAS
Acetocarmín,mililitros,100 x grupo,100 x grupo,100 x grupo,,15,SUSTANCIAS
Acetona,litros,1 x grupo,1 x grupo,1 x grupo,1 x grupo,15,SUSTANCIAS
Acetoorceína,mililitros,100 x grupo,100 x grupo,100 x grupo,,15,SUSTANCIAS
Ácido acético,mililitros,250 x grupo,250 x grupo,250 x grupo,,15,SUSTANCIAS
Ácido clorhídrico,mililitros,250 x grupo,250 x grupo,250 x grupo,,15,SUSTANCIAS
Ácido fénico (cristales),gramos,,,,250 x grupo,15,SUSTANCIAS
Ácido nítrico,mililitros,250 x grupo,250 x grupo,250 x grupo,,15,SUSTANCIAS
Ácido sulfúrico,mililitros,250 x grupo,250 x grupo,250 x grupo,,15,SUSTANCIAS
Agar-agar,gramos,500 x grupo,500 x grupo,500 x grupo,500 x grupo,15,SUSTANCIAS
Agua de cal,mililitros,,,,250 x grupo,15,SUSTANCIAS
Agua destilada,litros,20 x grupo,20 x grupo,20 x grupo,20 xg rupo,15,SUSTANCIAS
Alcohol etílico,litros,2 x grupo,2 x grupo,2 x grupo,2 x grupo,15,SUSTANCIAS
Alcohol metílico,litros,2 x grupo,2 x grupo,2 x grupo,2 x grupo,15,SUSTANCIAS
Almidón de maíz,gramos,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Azul de bromotinol,gramos,50 x grupo,50 x grupo,50 x grupo,,15,SUSTANCIAS
Azul de metileno,gramos,50 x grupo,50 x grupo,50 x grupo,50 x grupo,15,SUSTANCIAS
Bicarbonato de sodio,gramos,100 x grupo,100 x grupo,100 x grupo,100 x grupo,15,SUSTANCIAS
Cloroformo,mililitros,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Cloruro de sodio,gramos,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Colorante de giemsa (polvo),gramos,,,,10 x grupo,15,SUSTANCIAS
Colorante de giemsa,mililitros,250 x grupo,250 x grupo,250 x grupo,,15,SUSTANCIAS
Colorante de Wright en solución,mililitros,,,,250 x grupo,15,SUSTANCIAS
Cristal violeta,gramos,,,,25 x grupo,15,SUSTANCIAS
Dicromato de potasio,gramos,200 x grupo,,,,15,SUSTANCIAS
Éter de Petróleo,mililitros,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Éter lauril sulfato de sodio,mililitros,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Fenolftaleína,mililitros,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Ferrocianuro de potasio,gramos,250 x grupo,,,,15,SUSTANCIAS
Formaldehído,litros,1 x grupo,,,,15,SUSTANCIAS
Gasolina Blanca,mililitros,,100 x grupo,100 x grupo,,15,SUSTANCIAS
Glucosa,gramos,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Goma arábiga,gramos,250 x grupo,250 x grupo,250 x grupo,,15,SUSTANCIAS
Grenetina,gramos,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Hematoxilina,gramos,50 x grupo,50 x grupo,50 x grupo,50 x grupo,15,SUSTANCIAS
Hipoclorito de sodio,mililitros,,,,250 x grupo,15,SUSTANCIAS
Hidróxido de amonio,mililitros,250 x grupo,,,,15,SUSTANCIAS
Hidróxido de sodio,gramos,250 x grupo,,,,15,SUSTANCIAS
Hidróxido de potasio,gramos,250 x grupo,,,,15,SUSTANCIAS
Levadura de cerveza,gramos,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Lugol,litros,1 x grupo,1 x grupo,1 x grupo,1 x grupo,15,SUSTANCIAS
Nitrato de plata,gramos,50 x grupo,,,,15,SUSTANCIAS
Permanganato de potasio,gramos,250 x grupo,,,,15,SUSTANCIAS
Peroxido de hidrógeno,litros,1 x grupo,1 x grupo,1 x grupo,1 x grupo,15,SUSTANCIAS
Reactivo de Benedict,mililitros,500 x grupo,500 x grupo,500 x grupo,,15,SUSTANCIAS
Reactivo de Biuret,mililitros,500 x grupo,500 x grupo,500 x grupo,,15,SUSTANCIAS
