"material","Unidad de medida",23,24,25,"porcentaje","tipo"
"Péndulos electrostáticos","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Pesas de 1 kg.","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Pilas alcalinas de 1.5 v. ","piezas","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",80,"material"
"Placa de calentamiento eléctrica (hornilla)","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Plano inclinado","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Plastilina","barra","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Plastilina epóxica","barra","2 x grupo","2 x grupo","2 x grupo",80,"material"
"Polarizadores","piezas","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",80,"material"
"Poleas ","piezas","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",80,"material"
"Portapilas para 2 pilas cada uno","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Recipientes plásticos de 30 x 30 cm y poca profundidad","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Rejillas de difracción","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Resistores de carbón 8 (comerciales), diferentes valores","piezas","100 x grupo","100 x grupo","100 x grupo",80,"material"
"Resortes tubulares de diferente número de espiras","piezas","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",80,"material"
"Rieles de aluminio","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Soportes universales","piezas","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",80,"material"
"Sóquets de cerámica","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Tabletas para circuitos electrónicos","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Tapones de hule de diversos tamaños","piezas","30 x grupo","30 x grupo","30 x grupo",80,"material"
"Tenazas para matraz","piezas","10 x grupo","10 x grupo","10 x grupo",80,"material"
"Tubos capilares","piezas",,"2 x equipo de trabajo","2 x equipo de trabajo",80,"material"
"Tubos en U para manómetro","piezas",,"1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Varillas de aluminio con agarradera de material aislante o madera","piezas",,"1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Varillas de acero con agarradera de material aislante o madera","piezas",,"1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Varillas de cobre con agarradera de material aislante o madera","piezas",,"1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Varillas de latón con agarradera de material aislante o madera","piezas",,"1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Vasos de precipitados de 100 ml.","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Vasos de precipitados de 50 ml.","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
